Date,Nifty,CCIL,Mibor,Gold,Hybrid
22-01-2005,7151.08,988.37,107.37,6088.67,1106.54
23-01-2005,7049,986.47,107.39,6041.24,1096.85
24-01-2005,7119.88,987.94,107.4,6064.13,1103.66
25-01-2005,7193.85,988.57,107.42,6029.46,1110.3
26-01-2005,7210.77,987.95,107.47,5929.63,1111.44
27-01-2005,7277.31,980.08,107.49,5932.36,1113.21
28-01-2005,7220.25,980.66,107.5,5875.56,1108.61
29-01-2005,7287.6,979.05,107.52,5876.14,1113.57
30-01-2005,7145.13,977.51,107.53,5894.46,1100.6
31-01-2005,7212.08,976.26,107.58,5871.25,1105.71
01-02-2005,7306.74,973.81,107.59,5901.93,1112.59
02-02-2005,7303.95,973.32,107.61,5917.16,1112.11
03-02-2005,7247.91,973.74,107.62,5890.64,1107.52
04-02-2005,7187.7,974.17,107.64,5820.24,1102.58
05-02-2005,7271.54,974.86,107.68,5841.02,1110.1
06-02-2005,7347.1,974,107.7,5832.67,1116.14
07-02-2005,7346.63,974.96,107.71,5824.16,1116.58
08-02-2005,7342.89,975.31,107.73,5860.42,1116.44
09-02-2005,7304.32,975.28,107.74,5855.1,1113.12
10-02-2005,7423.25,976.81,107.79,5884.73,1124.07
11-02-2005,7505.6,976.47,107.8,5901.32,1130.95
12-02-2005,7552.77,979.76,107.82,5856.48,1136.63
13-02-2005,7605.03,984.79,107.83,5874.67,1143.62
14-02-2005,7605.03,985,107.85,5909.93,1143.73
15-02-2005,7635.42,987.22,107.89,5951.28,1147.44
16-02-2005,7669.45,988.17,107.91,5972.05,1150.83
17-02-2005,7756.04,988.2,107.92,5985.14,1158.26
18-02-2005,7756.47,988.8,107.94,6036.33,1158.6
19-02-2005,7797.08,989.45,107.95,6062.7,1162.4
20-02-2005,7754,989.1,108,6061.28,1158.54
21-02-2005,7606.17,988.54,108.01,6024.61,1145.6
22-02-2005,7595.57,988.23,108.03,6030.16,1144.53
23-02-2005,7729.82,987.29,108.04,6059.24,1155.56
24-02-2005,7816.51,988.9,108.06,6184.07,1163.79
25-02-2005,7767.49,989.67,108.1,6181.15,1159.98
26-02-2005,7767.49,988.4,108.12,6128.46,1159.34
27-02-2005,7768.24,988.4,108.13,6179.04,1159.41
28-02-2005,7859.53,988.68,108.15,6100.15,1167.36
01-03-2005,7811.33,989.33,108.16,6095.31,1163.56
02-03-2005,7780.76,989.74,108.21,6052.35,1161.15
03-03-2005,7750.6,990.34,108.22,6082.21,1158.86
